SwabianPulseSequence_1,SwabianPulseSequence_2,SwabianPulseSequence_3,SwabianPulseSequence_4,SwabianPulseSequence_5,SwabianPulseSequence_6,SwabianPulseSequence_7,SwabianPulseSequence_8,SwabianPulseSequence_9,SwabianPulseSequence_10,SwabianPulseSequence_11,SwabianPulseSequence_12,SwabianPulseSequence_13,SwabianPulseSequence_14,SwabianPulseSequence_15,SwabianPulseSequence_16
100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
19999999.9999996,0,19999999.9999996,1,19999999.9999996,0,19999999.9999996,0,19999999.9999996,0,19999999.9999996,0,19999999.9999996,0,19999999.9999996,0
5000000000,1,5000000000,0,5000000000,0,5000000000,0,5000000000,0,5000000000,1,5000000000,0,5000000000,0
5000000000,0,5000000000,0,5000000000,0,5000000000,0,5000000000,0,5000000000,0,5000000000,0,5000000000,0
99999999.9999996,0,99999999.9999996,0,99999999.9999996,0,99999999.9999996,1,99999999.9999996,0,99999999.9999996,0,99999999.9999996,0,99999999.9999996,0
2400000000,0,2400000000,0,2400000000,0,2400000000,0,2400000000,0,2400000000,0,2400000000,0,2400000000,0
1000000000,0,1000000000,0,1000000000,0,1000000000,0,1000000000,0,1000000000,1,1000000000,0,1000000000,0
100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
